"location","totalPopulation","totalTest","totalCases","totalVac","totalDeaths","PercentageTested","PositivityRate","totalPercentageInfected","totalVaccinated","totalDeathPercentage"
Japan,126050796,"50844783",8943156,"281258833",30773,40.336740911973294,17.589132005932644,7.0949,223.13134222492334,0.3441
Jersey,101073,"0",,"99736",,0.0,,,98.67719371147587,
Jordan,10269022,"9985935",1697271,"9951844",14068,97.24329152279545,16.996615740038365,16.5281,96.91131248915428,0.8289
Kazakhstan,18994958,"11792426",1394964,"18655980",19016,62.08187456903037,11.829321634072581,7.3439,98.21543169508456,1.3632
Kenya,54985702,"984435",325634,"11113785",5651,1.790347243361556,33.078263166181614,0.5922,20.212136238617088,1.7354
Kiribati,121388,"0",3161,"82167",13,0.0,,2.6040,67.68955745213695,0.4113
Kosovo,1782115,"994893",228397,"1325085",3139,55.826531957814176,22.956941098188448,12.8161,74.35462919059657,1.3744
Kuwait,4328553,"7379048",634067,"860000",2555,170.473781885078,8.592802215136695,14.6485,19.86807138551844,0.4030
Kyrgyzstan,6628347,"0",200993,"2395434",2991,0.0,,3.0323,36.13923652458147,1.4881
Laos,7379358,"1029566",210083,"9988048",756,13.951972515766276,20.405005604303174,2.8469,135.35117824612928,0.3599
